Latitude [degrees_north],Longitude [degrees_east],u-velocity [m/s],v-velocity [m/s]
-10,235,-0.143773,0.419801,
-10,237.5,-0.08807,0.477545,
-10,240,-0.0276937,0.540086,
-10,242.5,-0.0130637,0.567741,
-10,245,-0.0841066,0.553103,
-10,247.5,-0.184785,0.543196,
-10,250,-0.172192,0.56775,
-10,252.5,-0.101144,0.576573,
-10,255,-0.0315874,0.561913,
-10,257.5,0.0600945,0.510453,
-10,260,0.168149,0.417166,
-10,262.5,0.272124,0.30912,
-10,265,0.364139,0.234993,
-10,267.5,0.43745,0.222049,
-10,270,0.448776,0.248238,
-10,272.5,0.376065,0.197721,
-10,275,0.311633,0.18469,
-10,277.5,0.335236,0.342386,
-10,280,0.384475,0.479752,
-10,282.5,0.320541,0.342058,
-10,285,0.19085,0.0427656,
-10,287.5,0.128605,-0.0755824,
-10,290,0.0559821,0.0113988,
-10,292.5,0.0843252,0.12246,
-10,295,-0.0829368,0.0475967,
-10,297.5,-0.272684,0.177427,
-10,300,-0.262316,0.327483,
-10,302.5,-0.118817,0.377359,
-10,305,0.0482639,0.322903,
-10,307.5,0.165674,0.235684,
-10,310,0.216804,0.177869,
-10,312.5,0.253725,0.133327,
-10,315,0.391727,0.0284917,
-10,317.5,0.485064,-0.10622,
-10,320,0.36327,-0.114157,
-10,322.5,0.329323,-0.0686494,
-10,325,0.345842,-0.0215271,
-10,327.5,0.372297,0.00874342,
-10,330,0.379884,0.00942029,
-10,332.5,0.341413,-0.0382343,
-10,335,0.274576,-0.137027,
-10,337.5,0.198083,-0.238242,
-10,340,0.113785,-0.264125,
-10,342.5,0.032975,-0.241651,
-10,345,-0.0286212,-0.215245,
-10,347.5,-0.0701038,-0.207508,
-10,350,-0.0795694,-0.225737,
-10,352.5,-0.0585872,-0.246468,
-10,355,-0.0274749,-0.209007,
-10,357.5,0.0074825,-0.0608545,
-7.5,40,-0.317584,-0.247633,
-7.5,42.5,-0.301537,-0.211935,
-7.5,45,-0.206749,-0.268779,
-7.5,47.5,-0.080086,-0.468151,
-7.5,50,0.0272022,-0.564697,
-7.5,52.5,0.0457902,-0.446956,
-7.5,55,-0.0175289,-0.24343,
-7.5,57.5,-0.104714,-0.116022,
-7.5,60,-0.166831,-0.100705,
-7.5,62.5,-0.200628,-0.113615,
-7.5,65,-0.239569,-0.0874685,
-7.5,67.5,-0.315037,-0.0499521,
-7.5,70,-0.426506,-0.02564,
-7.5,72.5,-0.533972,-0.0449352,
-7.5,75,-0.633029,-0.103276,
-7.5,77.5,-0.725959,-0.155391,
-7.5,80,-0.791571,-0.172752,
-7.5,82.5,-0.803712,-0.163976,
-7.5,85,-0.756199,-0.155843,
-7.5,87.5,-0.669106,-0.151978,
-7.5,90,-0.568539,-0.105709,
-7.5,92.5,-0.4761,-0.012617,
-7.5,95,-0.416957,0.0563073,
-7.5,97.5,-0.38073,0.0753528,
-7.5,100,-0.330555,0.0687708,
-7.5,102.5,-0.241421,0.0639523,
-7.5,105,-0.124632,0.0655783,
-7.5,107.5,-0.0229641,0.0602555,
-7.5,110,0.0230776,0.0403342,
-7.5,112.5,0.0216292,0.0147975,
-7.5,115,0.0194682,0.015875,
-7.5,117.5,0.0184177,0.0464917,
-7.5,120,-0.0172847,0.0915027,
-7.5,122.5,-0.0836778,0.137577,
-7.5,125,-0.143311,0.17256,
-7.5,127.5,-0.162621,0.197523,
-7.5,130,-0.144047,0.215236,
-7.5,132.5,-0.125882,0.207926,
-7.5,135,-0.132222,0.16631,
-7.5,137.5,-0.0933819,0.0977335,
-7.5,140,-0.0636894,0.0571322,
-7.5,142.5,-0.109174,0.0588289,
-7.5,145,-0.221527,0.0689724,
-7.5,147.5,-0.379028,0.0736811,
-7.5,150,-0.517158,0.102544,
-7.5,152.5,-0.569499,0.171939,
